DYJetsToLLM10to50_2018/
nentries=142026 nMax=142026
nentries=86036 nMax=86036
nentries=47164 nMax=47164
nentries=3103 nMax=3103
nentries=1478857 nMax=1478857
nentries=1201348 nMax=1201348
nentries=598514 nMax=598514
nentries=1598692 nMax=1598692
nentries=1009674 nMax=1009674
nentries=1930033 nMax=1930033
nentries=1662083 nMax=1662083
nentries=1930593 nMax=1930593
nentries=467087 nMax=467087
nentries=988072 nMax=988072
nentries=1957096 nMax=1957096
nentries=1776712 nMax=1776712
nentries=998372 nMax=998372
nentries=1464485 nMax=1464485
nentries=1933150 nMax=1933150
nentries=1931868 nMax=1931868
nentries=1932029 nMax=1932029
nentries=1933157 nMax=1933157
nentries=1933371 nMax=1933371
nentries=1931013 nMax=1931013
nentries=1930606 nMax=1930606
nentries=801931 nMax=801931
nentries=1051757 nMax=1051757
nentries=66151 nMax=66151
nentries=1885842 nMax=1885842
nentries=333140 nMax=333140
nentries=1195221 nMax=1195221
nentries=133355 nMax=133355
nentries=1577372 nMax=1577372
nentries=1928019 nMax=1928019
nentries=1695000 nMax=1695000
nentries=1931763 nMax=1931763
nentries=1930904 nMax=1930904
nentries=1533316 nMax=1533316
nentries=864304 nMax=864304
nentries=1060612 nMax=1060612
nentries=1912478 nMax=1912478
nentries=1888063 nMax=1888063
nentries=1659451 nMax=1659451
nentries=532063 nMax=532063
nentries=1398064 nMax=1398064
nentries=1200245 nMax=1200245
nentries=589004 nMax=589004
nentries=731872 nMax=731872
nentries=765913 nMax=765913
nentries=1131457 nMax=1131457
nentries=1891184 nMax=1891184
nentries=1132272 nMax=1132272
nentries=1931852 nMax=1931852
nentries=1931985 nMax=1931985
nentries=1663346 nMax=1663346
nentries=1728955 nMax=1728955
nentries=1930907 nMax=1930907
nentries=775486 nMax=775486
nentries=1032053 nMax=1032053
nentries=600440 nMax=600440
nentries=1265541 nMax=1265541
nentries=1931252 nMax=1931252
nentries=1390222 nMax=1390222
nentries=931960 nMax=931960
nentries=94321 nMax=94321
nentries=1398805 nMax=1398805
nentries=1065915 nMax=1065915
nentries=1132813 nMax=1132813
nentries=1331186 nMax=1331186
nentries=1229941 nMax=1229941
nentries=599995 nMax=599995
nentries=998656 nMax=998656
nentries=998860 nMax=998860
nentries=1930784 nMax=1930784
nentries=1932517 nMax=1932517
nentries=1084269 nMax=1084269
nentries=1929739 nMax=1929739
nentries=1930535 nMax=1930535
nentries=1530205 nMax=1530205
nentries=1396406 nMax=1396406
nentries=401334 nMax=401334
nentries=275064 nMax=275064
nentries=95308 nMax=95308
nentries=1000027 nMax=1000027
nentries=1011991 nMax=1011991
nentries=838586 nMax=838586
nentries=47471 nMax=47471
nentries=54882 nMax=54882
nentries=1661924 nMax=1661924
nentries=1931168 nMax=1931168
nentries=1796513 nMax=1796513
nentries=1931915 nMax=1931915
nentries=1932046 nMax=1932046
nentries=1931900 nMax=1931900
WJetsToLNu_2018/
nentries=186773 nMax=186773
nentries=993614 nMax=993614
nentries=1240331 nMax=1240331
nentries=1125925 nMax=1125925
nentries=1422434 nMax=1422434
nentries=1580923 nMax=1580923
nentries=596322 nMax=596322
nentries=66173 nMax=66173
nentries=777802 nMax=777802
nentries=1257668 nMax=1257668
nentries=1197394 nMax=1197394
nentries=1722429 nMax=1722429
nentries=2121647 nMax=2121647
nentries=70835 nMax=70835
nentries=513993 nMax=513993
nentries=66228 nMax=66228
nentries=61704 nMax=61704
nentries=376521 nMax=376521
nentries=131995 nMax=131995
nentries=1685245 nMax=1685245
nentries=1192189 nMax=1192189
nentries=198351 nMax=198351
nentries=31723 nMax=31723
nentries=148914 nMax=148914
nentries=591087 nMax=591087
nentries=1190499 nMax=1190499
nentries=1527834 nMax=1527834
nentries=540847 nMax=540847
nentries=1021379 nMax=1021379
nentries=1570805 nMax=1570805
nentries=1048761 nMax=1048761
nentries=732066 nMax=732066
nentries=471051 nMax=471051
nentries=497638 nMax=497638
nentries=133230 nMax=133230
nentries=2118148 nMax=2118148
nentries=1085035 nMax=1085035
nentries=75214 nMax=75214
nentries=31030 nMax=31030
nentries=390031 nMax=390031
nentries=1510178 nMax=1510178
nentries=2137926 nMax=2137926
nentries=2114830 nMax=2114830
nentries=396745 nMax=396745
nentries=732379 nMax=732379
nentries=121720 nMax=121720
nentries=1605513 nMax=1605513
nentries=1256926 nMax=1256926
nentries=2117059 nMax=2117059
nentries=949596 nMax=949596
nentries=1395037 nMax=1395037
nentries=1316674 nMax=1316674
nentries=885186 nMax=885186
nentries=53672 nMax=53672
nentries=80057 nMax=80057
nentries=2116602 nMax=2116602
nentries=1219093 nMax=1219093
nentries=2117296 nMax=2117296
nentries=1222357 nMax=1222357
nentries=264598 nMax=264598
nentries=292031 nMax=292031
nentries=173049 nMax=173049
nentries=114389 nMax=114389
nentries=1125235 nMax=1125235
nentries=662688 nMax=662688
nentries=590768 nMax=590768
nentries=77048 nMax=77048
nentries=11071 nMax=11071
nentries=704268 nMax=704268
nentries=208136 nMax=208136
nentries=440300 nMax=440300
nentries=109059 nMax=109059
nentries=129109 nMax=129109
nentries=143082 nMax=143082
nentries=8612 nMax=8612
nentries=122145 nMax=122145
nentries=976322 nMax=976322
nentries=198587 nMax=198587
nentries=2113131 nMax=2113131
nentries=631213 nMax=631213
nentries=824458 nMax=824458
nentries=308076 nMax=308076
nentries=743134 nMax=743134
nentries=339663 nMax=339663
nentries=1908564 nMax=1908564
nentries=2118539 nMax=2118539
nentries=2116757 nMax=2116757
nentries=2119473 nMax=2119473
nentries=2111809 nMax=2111809
nentries=1190420 nMax=1190420
nentries=1862346 nMax=1862346
nentries=132912 nMax=132912
nentries=786403 nMax=786403
nentries=253240 nMax=253240
WJetsToLNu_2J_2018/
nentries=1050380 nMax=1050380
nentries=932504 nMax=932504
nentries=1400705 nMax=1400705
nentries=999418 nMax=999418
nentries=1734187 nMax=1734187
nentries=1731496 nMax=1731496
nentries=1266477 nMax=1266477
nentries=1000098 nMax=1000098
nentries=1399438 nMax=1399438
nentries=1399891 nMax=1399891
nentries=1732368 nMax=1732368
nentries=1730865 nMax=1730865
nentries=66792 nMax=66792
nentries=1732357 nMax=1732357
nentries=1133407 nMax=1133407
nentries=1459974 nMax=1459974
nentries=1333270 nMax=1333270
